timestamp,gpu_utilization_pct,active_jobs,active_gpus,total_gpus,power_consumption_kw,avg_job_duration_hrs
2025-08-14 17:00:00,77.45071229516849,147,77,100,24.5961605230126,1.670139803318274
2025-08-14 18:00:00,92.84544784612038,155,92,100,30.389022186066015,5.810544333470341
2025-08-14 19:00:00,37.95788421097572,90,37,100,10.585606360978167,2.781816822196533
2025-08-14 20:00:00,38.01405369644615,27,38,100,12.483421437932469,2.6842185514853143
2025-08-14 21:00:00,29.807533194983648,86,29,100,7.910019054296546,3.9205248816277694
2025-08-14 22:00:00,23.815444479970626,67,23,100,7.3124271221697,4.356758288102087
2025-08-14 23:00:00,36.83425913212226,82,36,100,9.556926936383913,0.9878869473895964
2025-08-15 00:00:00,50.63547027518508,67,50,100,16.421159731569958,1.232540855047879
2025-08-15 01:00:00,35.97440081655905,117,35,100,10.485827914025169,0.757913908364138
2025-08-15 02:00:00,29.134336065661504,75,29,100,9.038733554532826,5.468917132654865
2025-08-15 03:00:00,48.132953925071334,40,48,100,12.48741208958626,7.7718847082341895
2025-08-15 04:00:00,47.952918538036855,84,47,100,15.343283064917541,7.414056762673376
2025-08-15 05:00:00,43.265275764176394,73,43,100,10.992706632426017,6.71553131863947
2025-08-15 06:00:00,34.20233687407937,53,34,100,9.30179690863195,4.570220623686864
2025-08-15 07:00:00,49.86125954092193,72,49,100,13.704924659550239,0.541415878427018
2025-08-15 08:00:00,79.17514433261302,161,79,100,25.803963849236258,5.967553760307405
2025-08-15 09:00:00,57.41173715166041,143,57,100,17.666460467700094,2.981735186394869
2025-08-15 10:00:00,84.63317690683539,146,84,100,24.165834062110523,2.9388749152006026
2025-08-15 11:00:00,82.18788733591296,177,82,100,24.42285510091238,1.3969568445372627
2025-08-15 12:00:00,85.05299346838035,169,85,100,27.52876843293465,4.709578981771222
2025-08-15 13:00:00,69.46260941335072,181,69,100,15.27712763453423,0.690643450580714
2025-08-15 14:00:00,82.32853756562835,121,82,100,27.164529378654976,4.314280183735271
2025-08-15 15:00:00,66.70492168243732,157,66,100,22.7262302085882,2.2159862411871685
2025-08-15 16:00:00,62.225946725895284,145,62,100,17.806024043086115,1.7091596544050331
2025-08-15 17:00:00,83.7310317655311,156,83,100,23.580897092620074,7.194192488674833
2025-08-15 18:00:00,77.69901149670034,177,77,100,23.505528109035662,7.2206847494262
2025-08-15 19:00:00,34.469203591839715,73,34,100,9.8000496838052,6.635110744418698
2025-08-15 20:00:00,23.04727577801822,26,23,100,7.1384073812832485,2.165808578530477
2025-08-15 21:00:00,39.85928225209846,63,39,100,11.51129571735077,4.390929663075246
2025-08-15 22:00:00,51.060762852218076,61,51,100,17.44805687014872,7.788365620407205
2025-08-15 23:00:00,16.21843177051438,79,16,100,4.828910500771692,0.8860906343749202
2025-08-16 00:00:00,81.94863168727929,89,81,100,23.670560393284497,2.296714180002293
2025-08-16 01:00:00,44.47932345442135,56,44,100,14.708526115159827,2.2822815799429974
2025-08-16 02:00:00,56.27899549030161,63,56,100,19.125146407806902,5.242293729451846
2025-08-16 03:00:00,53.80285640700405,123,53,100,14.325047243042205,0.8058135616607294
2025-08-16 04:00:00,36.50553405595842,114,36,100,11.743476568886209,0.6244087169589212
